PLZ;ORT;Bezirk;
3494;Gedersdorf;Bezirk Krems (Land);
3495;Rohrendorf bei Krems;Bezirk Krems (Land);
3500;Krems an der Donau;Bezirk Krems an der Donau;
3500;Senftenberg;Bezirk Krems (Land);
3500;Stratzing;Bezirk Krems (Land);
3506;Krems an der Donau;Bezirk Krems an der Donau;
3508;Paudorf;Bezirk Krems (Land);
3511;Furth bei Göttweig;Bezirk Krems (Land);
3512;Bergern im Dunkelsteinerwald;Bezirk Krems (Land);
3512;Mautern an der Donau;Bezirk Krems (Land);
3521;Gföhl;Bezirk Krems (Land);
3521;Senftenberg;Bezirk Krems (Land);
3521;Weinzierl am Walde;Bezirk Krems (Land);
3522;Lichtenau im Waldviertel;Bezirk Krems (Land);
3524;Sallingberg;Bezirk Zwettl;
3525;Sallingberg;Bezirk Zwettl;
3531;Waldhausen;Bezirk Zwettl;
3532;Jaidhof;Bezirk Krems (Land);
3532;Rastenfeld;Bezirk Krems (Land);
3532;Zwettl-Niederösterreich;Bezirk Zwettl;
3533;Zwettl-Niederösterreich;Bezirk Zwettl;
3541;Krems an der Donau;Bezirk Krems an der Donau;
3541;Senftenberg;Bezirk Krems (Land);
3541;Weinzierl am Walde;Bezirk Krems (Land);
3542;Gföhl;Bezirk Krems (Land);
3542;Jaidhof;Bezirk Krems (Land);
3543;Jaidhof;Bezirk Krems (Land);
3543;Krumau am Kamp;Bezirk Krems (Land);
3543;Rastenfeld;Bezirk Krems (Land);
3544;Krumau am Kamp;Bezirk Krems (Land);
3550;Langenlois;Bezirk Krems (Land);
3552;Droß;Bezirk Krems (Land);
3552;Lengenfeld;Bezirk Krems (Land);
3552;Stratzing;Bezirk Krems (Land);
3553;Gföhl;Bezirk Krems (Land);
3553;Jaidhof;Bezirk Krems (Land);
3553;Langenlois;Bezirk Krems (Land);
3553;Schönberg am Kamp;Bezirk Krems (Land);
3561;Langenlois;Bezirk Krems (Land);
3562;Schönberg am Kamp;Bezirk Krems (Land);
3564;Schönberg am Kamp;Bezirk Krems (Land);
3571;Gars am Kamp;Bezirk Horn;
3571;Rosenburg-Mold;Bezirk Horn;
3572;Jaidhof;Bezirk Krems (Land);
3572;St. Leonhard am Hornerwald;Bezirk Krems (Land);
3573;Gars am Kamp;Bezirk Horn;
3573;Rosenburg-Mold;Bezirk Horn;
3580;Horn;Bezirk Horn;
3580;Rosenburg-Mold;Bezirk Horn;
3580;St. Bernhard-Frauenhofen;Bezirk Horn;
3591;Altenburg;Bezirk Horn;
3592;Röhrenbach;Bezirk Horn;
3593;Pölla;Bezirk Zwettl;
3593;Röhrenbach;Bezirk Horn;
3594;Pölla;Bezirk Zwettl;
3595;Brunn an der Wild;Bezirk Horn;
3601;Dürnstein;Bezirk Krems (Land);
3601;Weißenkirchen in der Wachau;Bezirk Krems (Land);
3602;Rossatz-Arnsdorf;Bezirk Krems (Land);
3610;Weinzierl am Walde;Bezirk Krems (Land);
3610;Weißenkirchen in der Wachau;Bezirk Krems (Land);
3611;Weinzierl am Walde;Bezirk Krems (Land);
3613;Albrechtsberg an der Großen Krems;Bezirk Krems (Land);
3613;Lichtenau im Waldviertel;Bezirk Krems (Land);
3613;Weinzierl am Walde;Bezirk Krems (Land);
3620;Maria Laach am Jauerling;Bezirk Krems (Land);
3620;Spitz;Bezirk Krems (Land);
3621;Rossatz-Arnsdorf;Bezirk Krems (Land);
3622;Kottes-Purk;Bezirk Zwettl;
3622;Mühldorf;Bezirk Krems (Land);
3623;Kottes-Purk;Bezirk Zwettl;
3631;Kirchschlag;Bezirk Zwettl;
3631;Ottenschlag;Bezirk Zwettl;
3631;Sallingberg;Bezirk Zwettl;
3632;Bad Traunstein;Bezirk Zwettl;
3632;Schönbach;Bezirk Zwettl;
3633;Altmelon;Bezirk Zwettl;
3633;Bärnkopf;Bezirk Zwettl;
3633;Schönbach;Bezirk Zwettl;
3641;Aggsbach;Bezirk Krems (Land);
3642;Bergern im Dunkelsteinerwald;Bezirk Krems (Land);
3643;Aggsbach;Bezirk Krems (Land);
3643;Maria Laach am Jauerling;Bezirk Krems (Land);
3644;Emmersdorf an der Donau;Bezirk Melk;
3650;Münichreith-Laimbach;Bezirk Melk;
3650;Pöggstall;Bezirk Melk;
3650;Raxendorf;Bezirk Melk;
3652;Artstetten-Pöbring;Bezirk Melk;
3652;Emmersdorf an der Donau;Bezirk Melk;
3652;Klein-Pöchlarn;Bezirk Melk;
3652;Leiben;Bezirk Melk;
3653;Artstetten-Pöbring;Bezirk Melk;
3653;Emmersdorf an der Donau;Bezirk Melk;
3653;Leiben;Bezirk Melk;
3653;Pöggstall;Bezirk Melk;
3653;Raxendorf;Bezirk Melk;
3653;Weiten;Bezirk Melk;
3654;Raxendorf;Bezirk Melk;
3660;Klein-Pöchlarn;Bezirk Melk;
3661;Artstetten-Pöbring;Bezirk Melk;
3661;Maria Taferl;Bezirk Melk;
3661;Münichreith-Laimbach;Bezirk Melk;
3662;Münichreith-Laimbach;Bezirk Melk;
3663;Münichreith-Laimbach;Bezirk Melk;
3663;Pöggstall;Bezirk Melk;
3664;Kirchschlag;Bezirk Zwettl;
3664;Martinsberg;Bezirk Zwettl;
3665;Bärnkopf;Bezirk Zwettl;
3665;Gutenbrunn;Bezirk Zwettl;
3665;Martinsberg;Bezirk Zwettl;
3671;Marbach an der Donau;Bezirk Melk;
3672;Marbach an der Donau;Bezirk Melk;
3672;Maria Taferl;Bezirk Melk;
